date,title,call_rate
2024-03-29,"'밸류업' 다시 증시 띄울까…""4월 코스피 최고 2850 예상""",3.574
2024-03-29,[2024년 1분기 리그테이블]역대급 연초 효과 속 DCM 왕좌는 KB증권,3.574
2024-03-29,'KBSTAR 미국채30년 엔화노출 ETF' 순자산 2000억 돌파,3.574
2024-03-29,"정육각 문제의 300억 빚, 2년 만기 인수금융으로 전환 성공",3.574
2024-03-29,"농협은행, 농업인 전용 최저 연 2.95% 대출상품 출시",3.574
2024-03-29,美 작년 4분기 GDP '훈풍'…다우·S&P500 최고치 [뉴욕증시 브리핑],3.574
2024-03-29,"케이뱅크 작년 순익 85% 감소한 128억원…""충당금 2배 늘린 결과""",3.574
2024-03-29,투자 심리 되살아나자…美 기업 올 1분기 차입액 역대 최대치,3.574
2024-03-29,"2월 국세수입, 0.7조 증가했지만…""3월 법인세 실적이 중요"" [통계 인사이드]",3.574
2024-03-29,뉴욕증시 혼조 마감…전국 최악의 '황사비' [모닝브리핑],3.574
2024-03-29,부동산 시장도 '성장주' 보다 '가치주' [더 머니이스트-김효선의 부동산이지!],3.574
2024-03-29,투자 심리 되살아나자…美 기업 올 1분기 차입액 역대 최대치,3.574
2024-03-29,세빌스IM “일본 부동산에 투자 기회…멀티패밀리 관심 필요”,3.574
2024-03-29,한국은행 순이익 16년만에 최저…이대로 괜찮나 [강진규의 BOK워치],3.574
2024-03-29,부동산 투자 성패 가르는 유형별 체크포인트 [한경부동산밸류업센터],3.574
2024-03-29,"한화호텔앤드리조트, 회사채 수요예측서 목표액 5배 몰려",3.574
2024-03-29,"한화호텔앤드리조트, 회사채 수요예측서 목표액 5배 몰려",3.574
2024-03-29,미국 소비지출 물가 안정세…'6월 금리 인하론' 힘 받나,3.574
2024-03-29,"중기대출 금리, 15년만에 대기업보다 낮아졌다",3.574
2024-03-29,"농협은행, 농업인 저금리 대출상품 출시…민생금융 자율프로그램",3.574
2024-03-29,"수협은행, 소상공인·청년 대상 67억원 규모 민생금융 지원",3.574
2024-03-29,"국고채 금리 일제히 상승 출발… 10년물, 1.9bp↑",3.574
2024-03-29,‘수상한 슈퍼 엔저’…고심 깊어지는 日 [이슈분석],3.574
2024-03-29,‘SOL 미국 30년 국채 커버드콜' 순자산 1000억 돌파,3.574
2024-03-29,"NDF, 1347.5원/1348.0원…3.8원 상승",3.574
2024-03-29,"KB운용, '미국채30년 엔화노출 ETF’ 순자산 2000억 돌파",3.574
2024-03-29,탄탄한 경제에 상향된 美GDP…환율 1350원대 재진입 시도[외환브리핑],3.574
2024-03-29,한투운용 첫 1조 ETF 탄생,3.574
2024-03-29,"""소외된 건설업종, 2025년 반등 예상""",3.574
2024-03-29,미 2월 PCE·파월 연설 대기… 글로벌 금리 추종하며 약세[채권브리핑],3.574
2024-03-29,"[뉴스새벽배송]다우·S&P500 지수, 역대 최고치…내일 성금요일 휴장",3.574
2024-03-29,"""韓 증시, 모멘텀 부족에 숨 고르기…업종별 차별화""",3.574
2024-03-29,"""다음주 달러강세 주의…식량주 주목해야""",3.574
2024-03-29,“오늘 코스피 강보합 출발할 것”…삼성전자 주목,3.574
2024-03-29,"예보 ""작년말 저축은행 특별계정 대출잔액 7.2조""",3.574
2024-03-29,“국내 증시 외국인 매수세…2분기 둔화 가능성”,3.574
2024-03-29,PCE 지표에 달렸다…6월 금리인하 유지될까[월스트리트in],3.574
2024-03-29,[속보]뉴욕증시 보합 마감…PCE발표 앞두고 '눈치보기',3.574
2024-03-29,글로벌 증시 5년만에 날았다…美연착륙·AI 기대로 1분기 7.7%↑,3.574
2024-03-29,"미국 경제 호조에 ‘강달러’…환율, 장중 1350원 터치",3.574
2024-03-29,"'청년희망적금' 2월 만기, '청년도약계좌' 환승 막차 오늘 떠난다",3.574
2024-03-29,글로벌 M&A 시장 '기지개'…올해 1분기 거래액 30% 증가,3.574
2024-03-29,"美 2월 근원 PCE 2.8%↑…연준, 금리 인하 확신엔 부족(종합)",3.574
2024-03-29,"‘파란불꽃펀드 완판’ 조국혁신당, 펀딩참여자 9명과 만남 행사",3.574
2024-03-29,"[마켓인]식지않은 회사채 열기…금호석화, 수요예측 흥행",3.574
2024-03-29,5대 은행 중 예대금리차 1위는 NH농협은행,3.574
2024-03-29,이조특위 띄운 與…‘부동산 사기대출 의혹’ 양문석 고발키로,3.574
2024-03-29,"두산건설, 지난해 영업이익 609억원…전년比 102% ↑",3.574
2024-03-29,"외환당국, 작년 4분기 20억달러 사들여…3년 만에 ‘순매수’",3.574
2024-03-29,"서학개미 대장주 굴욕… '슬럼프' 테슬라, 주가 3분의 1 '뚝'",3.574
2024-03-29,"미 2월 PCE와 파월 경계… 10년물, 6거래일 만에 3.4%대 돌파[채권마감]",3.574
2024-03-29,[마켓인]SK네트웍스가 '캐시카우' SK렌터카 내놓은 이유,3.574
2024-03-29,"美물가 대기에 쏠림 경계…환율, 1347.2원 강보합[외환마감]",3.574
2024-03-29,"美PCE 물가 경계감…장중 환율, 1350원선 저항[외환분석]",3.574
2024-03-29,"국금센터 ""엔화 추가 약세 제한적…IB들, 1년간 8.5% 상승 전망""",3.574
2024-03-29,한국은행 작년 순이익 1.3조…16년 만에 최소 실적,3.574
2024-03-29,"미 2월 PCE·파월 연설 경계… 국고채 금리, 일제히 상승[채권분석]",3.574
2024-03-29,"2월 은행 대출금리 4.85%, 1년 5개월 만에 5% 밑으로",3.574
2024-03-29,"대신증권, 국내 단기 통안채 ETN 2종 출시",3.574
2024-03-29,"케이뱅크, 지난해 순이익 128억원…전년 대비 84.7%↓",3.574
2024-03-29,국금센터 “2분기도 위안화 약세 지속…中환율 변동성 용인 가능성”,3.574
2024-03-29,"한국항공우주, 회사채 수요 2.35조원 확보",3.574
2024-03-29,"“여보, 우리는 변동금리 맞지?”…주담대 금리 4개월째 ‘뚝’",3.574
2024-03-29,가상화폐 거래소 창업자 징역25년·벌금15조 선고…역대 두번째 중형 [월가월부],3.574
2024-03-29,"최초 월배당 지급 美장기채 ETF, 순자산 1조 돌파",3.574
2024-03-29,"KBSTAR 미국채30년 엔화노출 ETF, 월배당으로 전환",3.574
2024-03-29,“과거는 잠시 묻어둘게요”…성실한 사장님 재창업 걸림돌 없어진다는데,3.574
2024-03-29,"“병원 생긴다고 해서 계약했는데”…상가만 덩그러니, 이럴 경우 어쩌죠 [매부리TV]",3.574
