ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score,category
금리/NNG,154424,132882,287306,0.024288790357716392,0.0262412623421238,0.9255953483124476,중립
자료/NNG,77090,76295,153385,0.012125206241752296,0.01506657869683129,0.8047750246246944,중립
상승/NNG,59104,44531,103635,0.009296253595959628,0.008793889716869967,1.057126470226928,중립
전망/NNG,52441,42143,94584,0.008248254514512027,0.008322312419169815,0.9911012828012559,중립
시장/NNG,41121,34892,76013,0.006467772809276121,0.006890399946128021,0.9386643532804811,중립
투자/NNG,41216,33011,74227,0.0064827150143995675,0.006518943959120489,0.9944425132432325,중립
회사채/NNG,33985,38789,72774,0.00534537727495073,0.007659971440741711,0.6978325332284973,비둘기파
물가/NNG,45920,26057,71977,0.007222590097564735,0.005145682431395673,1.4036214231754949,매파
국고채/NNG,33980,37405,71385,0.005344590843102128,0.0073866619851231975,0.7235461503269245,비둘기파
하락/NNG,37277,30722,67999,0.005863164004070571,0.006066916976525996,0.9664157308821297,중립
대비/NNG,37276,30357,67633,0.005863006717700851,0.005994837531944523,0.9780092765581737,중립
달러/NNG,37314,28110,65424,0.005868983599750229,0.0055511046224251594,1.0572640940761435,중립
경제/NNG,32241,31563,63804,0.005071069846158202,0.006232995915958922,0.8135846572872393,중립
인하/NNG,33890,28666,62556,0.005330435069827284,0.005660902351705429,0.9416228612778338,중립
fed/NNG,35396,26806,62202,0.005567308342626336,0.005293593401235462,1.0517068313797944,중립
예상/NNG,33472,27443,60915,0.00526468936728412,0.005419386842874907,0.9714548010548142,중립
발행/NNG,29211,28620,57831,0.004594492145905128,0.00565181836690886,0.8129228237067331,중립
채권/NNG,26109,25698,51807,0.00410658982703218,0.0050747878543963626,0.8092140883238264,중립
증가/NNG,29102,22472,51574,0.004577347931605595,0.004437724051054364,1.0314629478861033,중립
스프레드/NNG,25220,25749,50969,0.003966762244350667,0.005084859228844732,0.7801124998404146,중립
가능성/NNG,26287,23618,49905,0.004134586800842426,0.004664033759247151,0.8864830347003779,중립
수준/NNG,29140,20274,49414,0.004583324813654974,0.0040036675601226495,1.1447815646098667,중립
경기/NNG,25824,22929,48753,0.00406176321166184,0.004527971465228975,0.8970381644082294,중립
기대/NNG,25642,21834,47476,0.004033137092372712,0.004311733131484558,0.9353865300527252,중립
대출/NNG,28081,19371,47452,0.004416758548120978,0.003825344989007391,1.1546039797228977,중립
기준/NNG,25903,21452,47355,0.004074188834869759,0.0042362965620869625,0.9617336216099698,중립
확대/NNG,25795,21322,47117,0.004057201906939947,0.004210624431140137,0.9635629995718599,중립
인상/NNG,29672,17407,47079,0.004667001162346272,0.0034374983337799626,1.3576737234994718,매파
국채/NNG,23271,22584,45855,0.003660211109765439,0.004459841579254707,0.8207042884193891,중립
따르/VV,25719,19407,45126,0.00404524814284119,0.003832454194500358,1.055524198735681,중립
지속/NNG,25232,19290,44522,0.003968649680787312,0.003809349276648215,1.0418182719856193,중립
가격/NNG,25568,16128,41696,0.0040214979010133965,0.0031849240608492696,1.2626668090607636,중립
은행/NNG,21467,19994,41461,0.0033764664987896813,0.003948373739621794,0.8551537218746433,중립
기업/NNG,22288,15941,38229,0.003505598608330201,0.003147995687871913,1.1135970172500562,중립
오르/VV,23372,14016,37388,0.003676097033107208,0.002767850671928532,1.328141387969404,매파
영향/NNG,21677,15264,36941,0.0034094966364309836,0.0030143031290180587,1.131106093348237,중립
위하/VV,21712,15146,36858,0.0034150016593712004,0.0029910007332355553,1.1417588840498132,중립
지수/NNG,18713,14069,32782,0.002943299836579462,0.0027783170022376226,1.0593822930245052,중립
기록/NNG,18309,14029,32338,0.0028797561432123853,0.0027704178850232147,1.0394663414426573,중립
규모/NNG,17528,14188,31716,0.0027569154884606855,0.002801816875950486,0.9839741890788033,중립
금융/NNG,17751,13561,31312,0.002791990348908354,0.002677998213614642,1.0425661730146751,중립
만기/NNG,15381,15395,30776,0.002419221652670801,0.0030401727378952447,0.7957513803461257,중립
유지/NNG,17092,13586,30678,0.0026883386312625533,0.002682935161873647,1.0020140141534888,중립
지표/NNG,15591,14882,30473,0.0024522517903121034,0.0029388665596204633,0.8344209376518261,중립
인플레이션/NNG,19160,10729,29889,0.0030136068438445193,0.002118740714834562,1.4223575460387712,매파
위험/NNG,16621,12515,29136,0.002614256751124204,0.002471436298457875,1.057788441788059,중립
증권/NNG,15162,13886,29048,0.0023847759377020146,0.002742178540981706,0.8696647217027158,중립
추가/NNG,15211,13693,28904,0.0023924829698183186,0.0027040653004221883,0.8847726308402308,중립
우려/NNG,16292,12474,28766,0.0025625095354861642,0.002463339703313107,1.0402582851401603,중립
판단/NNG,14810,13899,28709,0.0023294111355604036,0.002744745754076389,0.848680112575401,중립
외국인/NNG,15112,13597,28709,0.0023769116192159903,0.0026851074191076092,0.8852203089908235,중립
거래/NNG,14972,13723,28695,0.002354891527455122,0.002709989638332994,0.868966985757073,중립
추이/NNG,14760,13777,28537,0.0023215468170743794,0.0027206534465724448,0.8533048632118614,중립
글로벌/NNG,15278,13080,28358,0.002403021156589591,0.0025830113291113867,0.9303176991547628,중립
발표/NNG,15026,13208,28234,0.0023633849914200286,0.002608288504197492,0.9061056656948252,중립
자금/NNG,14755,12988,27743,0.002320760385225777,0.0025648433595182487,0.9048351341275213,중립
감소/NNG,16096,11257,27353,0.002531681407020949,0.0022230090620647463,1.138853390309397,중립
정책/NNG,14483,12679,27162,0.0022779784926618045,0.0025038226790369475,0.9098002473314084,중립
나타나/VV,15263,11529,26792,0.0024006618610437837,0.00227672305912272,1.05443736401072,중립
안정/NNG,14612,12168,26780,0.002298268434355747,0.0024029114566228864,0.956451569624539,중립
개선/NNG,14602,12024,26626,0.002296695570658542,0.002374474634651018,0.9672436745133278,중립
강세/NNG,13481,12874,26355,0.0021203775502018772,0.002542330875457186,0.8340289498394149,중립
둔화/NNG,15179,10898,26077,0.002387449805987263,0.0021521144850654354,1.1093507443748616,중립
필요/NNG,14258,11603,25861,0.002242589059474695,0.0022913364259693745,0.9787253561100018,중립
성장/NNG,15172,10173,25345,0.0023863488013992195,0.002008942985554292,1.1878628804096183,중립
통하/VV,14179,10982,25161,0.0022301634362667765,0.002168702631215692,1.0283398950904725,중립
회복/NNG,13506,11425,24931,0.002124309709444889,0.0022561853543652593,0.9415492859816603,중립
변동/NNG,12683,12181,24864,0.001994863027164929,0.002405478669717569,0.8292998197315751,중립
부담/NNG,13323,10713,24036,0.00209552630378604,0.0021155810679487986,0.9905204463839322,중립
부채/NNG,12281,11665,23946,0.0019316339065372935,0.002303580057651707,0.8385356090061054,중립
수요/NNG,13755,10117,23872,0.0021634740155052905,0.001997884221454121,1.0828825776153577,중립
통화정책/NNG,14057,9603,23660,0.0022109744991608772,0.0018963805652489792,1.1658917728207125,중립
포인트/NNG,13721,9784,23505,0.002158126278934794,0.0019321240706441749,1.1169708569570636,중립
축소/NNG,11685,11066,22751,0.0018378912301838836,0.0021852907773659484,0.8410282280142121,중립
환율/NNG,13743,8958,22701,0.0021615865790686447,0.0017690073001666517,1.2219206663901327,중립
부동산/NNG,13804,8352,22156,0.002171181047621594,0.0016493356743683717,1.3163973115739873,매파
크레딧/NNG,10395,11367,21762,0.001634991813244456,0.0022447316344043683,0.7283684999068031,비둘기파
자산/NNG,11649,9773,21422,0.001832228920873946,0.0019299518134102127,0.949365112715643,중립
결정/NNG,11210,10075,21285,0.0017631802045666525,0.0019895901483789925,0.8862027217028561,중립
완화/NNG,11238,9969,21207,0.001767584222918826,0.0019686574877608117,0.8978627485522175,중립
통안채/NNG,9702,11492,21194,0.001525992359028159,0.002269416375699393,0.6724162103386057,비둘기파
가운데/NNG,11888,9236,21124,0.0018698203632371423,0.0018239061648067866,1.0251735529580928,중립
등급/NNG,9737,11239,20976,0.001531497381968376,0.0022194544593182627,0.6900332536846903,비둘기파
결과/NNG,11007,9940,20947,0.0017312510715133938,0.0019629306277803658,0.8819726214527767,중립
지원/NNG,11766,8866,20632,0.0018506314261312429,0.0017508393305735134,1.0569967179827067,중립
순매수/NNG,10018,10523,20541,0.0015756948518598328,0.0020780602611803613,0.7582527231259505,비둘기파
평가/NNG,11420,8825,20245,0.0017962103422079546,0.0017427427354287453,1.0306801489928779,중립
수익률/NNG,10762,9436,20198,0.0016927159109318747,0.0018634017508788261,0.9084009447418133,중립
소비자/NNG,11647,8430,20077,0.001831914348134505,0.0016647389529364672,1.100421387331121,중립
